file,obj,x,y
221105VIU_0057.fits,V1301Cas,1878.837,2178.588
221105VIU_0057.fits,UCAC3296-11711,2582.349,1776.317
221105VIU_0057.fits,UCAC3296-11655,2737.018,1445.596
221105VIU_0057.fits,CGCS68,2927.204,1906.754
221105VIU_0058.fits,V1301Cas,1871.428,2183.824
221105VIU_0058.fits,UCAC3296-11711,2576.083,1781.095
221105VIU_0058.fits,UCAC3296-11655,2728.289,1451.193
221105VIU_0058.fits,CGCS68,2917.651,1913.29
221105VIU_0059.fits,V1301Cas,1862.306,2189.472
221105VIU_0059.fits,UCAC3296-11711,2566.129,1785.319
221105VIU_0059.fits,UCAC3296-11655,2719.001,1455.333
221105VIU_0059.fits,CGCS68,2910.577,1918.245
221105VIU_0060.fits,V1301Cas,1852.315,2194.684
221105VIU_0060.fits,UCAC3296-11711,2558.495,1790.398
221105VIU_0060.fits,UCAC3296-11655,2709.046,1460.814
221105VIU_0060.fits,CGCS68,2899.718,1922.951
221105VIU_0061.fits,V1301Cas,1845.364,2199.463
221105VIU_0061.fits,UCAC3296-11711,2548.239,1794.319
221105VIU_0061.fits,UCAC3296-11655,2701.413,1466.855
221105VIU_0061.fits,CGCS68,2892.052,1927.753
221105VIU_0062.fits,V1301Cas,1834.07,2203.807
221105VIU_0062.fits,UCAC3296-11711,2538.124,1800.676
221105VIU_0062.fits,UCAC3296-11655,2690.781,1470.928
221105VIU_0062.fits,CGCS68,2879.684,1932.459
221105VIU_0063.fits,V1301Cas,1826.034,2205.827
221105VIU_0063.fits,UCAC3296-11711,2528.773,1804.598
221105VIU_0063.fits,UCAC3296-11655,2681.515,1473.406
221105VIU_0063.fits,CGCS68,2871.147,1935.913
221105VIU_0064.fits,V1301Cas,1817.235,2209.347
221105VIU_0064.fits,UCAC3296-11711,2520.935,1805.932
221105VIU_0064.fits,UCAC3296-11655,2673.471,1475.836
221105VIU_0064.fits,CGCS68,2862.852,1937.924
221105VIU_0065.fits,V1301Cas,1807.934,2213.369
221105VIU_0065.fits,UCAC3296-11711,2512.136,1809.493
221105VIU_0065.fits,UCAC3296-11655,2664.844,1480.452
221105VIU_0065.fits,CGCS68,2855.543,1940.596
221106VIU_0035.fits,V1301Cas,1916.073,2147.84
221106VIU_0035.fits,UCAC3296-11711,2620.844,1745.238
221106VIU_0035.fits,UCAC3296-11655,2770.458,1413.079
221106VIU_0035.fits,CGCS68,2961.921,1876.159
221106VIU_0036.fits,V1301Cas,1914.816,2143.65
221106VIU_0036.fits,UCAC3296-11711,2616.922,1741.618
221106VIU_0036.fits,UCAC3296-11655,2766.445,1411.076
221106VIU_0036.fits,CGCS68,2958.536,1873.53
221106VIU_0037.fits,V1301Cas,1912.093,2141.765
221106VIU_0037.fits,UCAC3296-11711,2616.65,1740.435
